"","timestamp","type","sourceInstance","sourceID","targetID","targetInstance","abilityGameID","buffs","hitType","amount","unmitigatedAmount","sourceMarker","overkill","resisted","tick","logID","fightID","startTime","endTime","encounterID","kill","duration_s","fight","size","mitigated","targetMarker","absorbed"
"1",4411802,"damage",NA,139,142,NA,67760,"53201.53909.24932.16886.57623.48090.",1,2280,2280,NA,NA,NA,NA,"j2MkDALRFGr8cw9g",8,4404206,4627203,101084,1,222.997,8,25,NA,NA,NA
"2",4419563,"damage",NA,139,142,NA,67760,"48518.54758.24932.16886.57623.2825.48090.",16,2414,2373,NA,NA,237,NA,"j2MkDALRFGr8cw9g",8,4404206,4627203,101084,1,222.997,8,25,NA,NA,NA
"3",4426816,"damage",NA,139,142,NA,67760,"48518.54758.24932.16886.57623.2825.48090.",16,2345,2305,NA,NA,231,NA,"j2MkDALRFGr8cw9g",8,4404206,4627203,101084,1,222.997,8,25,NA,NA,NA
"4",4435643,"damage",NA,139,142,NA,67760,"48517.64713.24932.16886.57623.2825.48090.",2,3722,2131,NA,NA,NA,NA,"j2MkDALRFGr8cw9g",8,4404206,4627203,101084,1,222.997,8,25,NA,NA,NA
"5",4456766,"damage",NA,139,142,NA,67760,"24932.16886.57623.48090.",2,3637,2082,NA,NA,NA,NA,"j2MkDALRFGr8cw9g",8,4404206,4627203,101084,1,222.997,8,25,NA,NA,NA
"6",4476247,"damage",NA,139,148,15,67760,"48518.53201.24932.57623.48090.",1,2464,2464,NA,NA,NA,NA,"j2MkDALRFGr8cw9g",8,4404206,4627203,101084,1,222.997,8,25,NA,NA,NA
"7",4485510,"damage",NA,139,148,29,67760,"24932.57623.48391.",1,2599,2599,NA,NA,NA,NA,"j2MkDALRFGr8cw9g",8,4404206,4627203,101084,1,222.997,8,25,NA,NA,NA
"8",4506029,"damage",NA,139,142,NA,67760,"24932.16886.57623.48090.",1,2427,2427,NA,NA,NA,NA,"j2MkDALRFGr8cw9g",8,4404206,4627203,101084,1,222.997,8,25,NA,NA,NA
"9",4517753,"damage",NA,139,142,NA,67760,"48518.24932.16886.57623.48090.",2,3990,2285,NA,NA,NA,NA,"j2MkDALRFGr8cw9g",8,4404206,4627203,101084,1,222.997,8,25,NA,NA,NA
"10",4538067,"damage",NA,139,142,NA,67760,"48517.24932.16886.57623.48090.48391.",1,2728,2413,NA,NA,NA,NA,"j2MkDALRFGr8cw9g",8,4404206,4627203,101084,1,222.997,8,25,NA,NA,NA
"11",4546029,"damage",NA,139,142,NA,67760,"53201.48517.64713.24932.16886.57623.48090.",1,2608,2307,NA,NA,NA,NA,"j2MkDALRFGr8cw9g",8,4404206,4627203,101084,1,222.997,8,25,NA,NA,NA
"12",4554166,"damage",NA,139,142,NA,67760,"53201.24932.16886.57623.48090.",17,3717,2365,NA,NA,237,NA,"j2MkDALRFGr8cw9g",8,4404206,4627203,101084,1,222.997,8,25,NA,NA,NA
"13",4562154,"damage",NA,139,142,NA,67760,"48518.53908.54758.24932.16886.57623.48090.",1,2696,2385,NA,NA,NA,NA,"j2MkDALRFGr8cw9g",8,4404206,4627203,101084,1,222.997,8,25,NA,NA,NA
"14",4579047,"damage",NA,139,142,NA,67760,"48517.24932.16886.57623.48090.",17,3503,2229,NA,NA,223,NA,"j2MkDALRFGr8cw9g",8,4404206,4627203,101084,1,222.997,8,25,NA,NA,NA
"15",4586135,"damage",NA,139,142,NA,67760,"48517.24932.16886.57623.48090.",16,2368,2328,NA,NA,233,NA,"j2MkDALRFGr8cw9g",8,4404206,4627203,101084,1,222.997,8,25,NA,NA,NA
"16",4604180,"damage",NA,139,142,NA,67760,"64713.24932.16886.57623.48090.",2,4213,2412,NA,NA,NA,NA,"j2MkDALRFGr8cw9g",8,4404206,4627203,101084,1,222.997,8,25,NA,NA,NA
"17",4612692,"damage",NA,139,142,NA,67760,"48518.53201.24932.16886.57623.48090.48391.",17,3418,2447,NA,NA,490,NA,"j2MkDALRFGr8cw9g",8,4404206,4627203,101084,1,222.997,8,25,NA,NA,NA
"18",4623426,"damage",NA,139,142,NA,67760,"48518.54758.24932.16886.57623.48090.",17,4093,2604,NA,NA,260,NA,"j2MkDALRFGr8cw9g",8,4404206,4627203,101084,1,222.997,8,25,NA,NA,NA
"19",22899,"damage",NA,9,14,NA,67760,"57623.64713.55637.59000.48156.64907.15258.61792.",1,2526,2235,NA,NA,NA,NA,"36XxM8WBTjFtcpKN",2,11303,304289,629,1,292.986,2,10,NA,NA,NA
