"","encounterID","difficulty","hardModeLevel","averageItemLevel","size","kill","lastPhase","startTime","endTime","fightPercentage","bossPercentage","completeRaid","fightID","duration","duration_s","logID"
"1",645,4,NA,238.240005493164,25,FALSE,0,228579,417683,58.55,58.55,FALSE,2,189104,189.104,"KCLxZT9cqp2Vav1F"
"2",645,4,NA,238.240005493164,25,FALSE,0,588412,722751,63.25,63.25,FALSE,3,134339,134.339,"KCLxZT9cqp2Vav1F"
"3",645,4,NA,238.399993896484,25,FALSE,0,987476,1171302,55.28,55.28,FALSE,4,183826,183.826,"KCLxZT9cqp2Vav1F"
"4",645,4,NA,238.399993896484,25,FALSE,0,1339426,1619008,17.69,17.69,FALSE,5,279582,279.582,"KCLxZT9cqp2Vav1F"
"5",645,4,NA,238.399993896484,25,FALSE,0,1995317,2272177,16.85,16.85,FALSE,6,276860,276.86,"KCLxZT9cqp2Vav1F"
"6",645,4,NA,238.399993896484,25,FALSE,0,2731982,3000748,31.02,31.02,FALSE,7,268766,268.766,"KCLxZT9cqp2Vav1F"
"7",645,4,NA,238.399993896484,25,FALSE,0,3153535,3318977,100,100,FALSE,8,165442,165.442,"KCLxZT9cqp2Vav1F"
"8",645,4,NA,238.399993896484,25,FALSE,0,3706422,3979300,31.62,31.62,FALSE,9,272878,272.878,"KCLxZT9cqp2Vav1F"
"9",645,4,NA,238.479995727539,25,FALSE,0,4139804,4275371,59.46,59.46,FALSE,10,135567,135.567,"KCLxZT9cqp2Vav1F"
"10",645,4,NA,238.479995727539,25,FALSE,0,4606864,4860756,30.45,30.45,FALSE,11,253892,253.892,"KCLxZT9cqp2Vav1F"
"11",645,4,NA,238.479995727539,25,FALSE,0,4994009,5264335,33.03,33.03,FALSE,12,270326,270.326,"KCLxZT9cqp2Vav1F"
"12",645,4,NA,238.479995727539,25,FALSE,0,5411704,5728798,7.56,7.56,FALSE,13,317094,317.094,"KCLxZT9cqp2Vav1F"
"13",645,4,NA,238.479995727539,25,FALSE,0,5955032,6200722,29.91,29.91,FALSE,14,245690,245.69,"KCLxZT9cqp2Vav1F"
"14",629,4,NA,238.5,10,TRUE,0,11311,285056,0.01,0.01,FALSE,2,273745,273.745,"rGNYmCw1ahPtjyXd"
"15",633,4,NA,238.5,10,TRUE,0,419941,541909,0.01,0.01,FALSE,3,121968,121.968,"rGNYmCw1ahPtjyXd"
"16",637,4,NA,238.5,10,TRUE,0,745383,908256,0.01,0.01,FALSE,5,162873,162.873,"rGNYmCw1ahPtjyXd"
"17",641,4,NA,238.600006103516,10,TRUE,0,1164572,1262562,0.01,0.01,FALSE,6,97990,97.99,"rGNYmCw1ahPtjyXd"
"18",645,4,NA,238.600006103516,10,TRUE,0,1763574,1962695,0.01,0.01,FALSE,8,199121,199.121,"rGNYmCw1ahPtjyXd"
"19",641,4,NA,233.600006103516,25,FALSE,0,46719,175853,59.53,59.53,FALSE,1,129134,129.134,"GMw7bjvXgFP36KDm"
"20",641,4,NA,233.600006103516,25,TRUE,0,402798,658080,0.01,0.01,FALSE,2,255282,255.282,"GMw7bjvXgFP36KDm"
"21",645,4,NA,233.720001220703,25,FALSE,0,4163082,4253796,75.6,75.6,FALSE,10,90714,90.714,"GMw7bjvXgFP36KDm"
"22",645,4,NA,233.759994506836,25,FALSE,0,4475075,4910195,6.09,6.09,FALSE,11,435120,435.12,"GMw7bjvXgFP36KDm"
"23",645,4,NA,233.679992675781,25,FALSE,0,5224032,5593036,23.66,23.66,FALSE,12,369004,369.004,"GMw7bjvXgFP36KDm"
"24",645,4,NA,233.679992675781,25,FALSE,0,5785773,6193630,19.85,19.85,FALSE,13,407857,407.857,"GMw7bjvXgFP36KDm"
"25",645,4,NA,233.679992675781,25,FALSE,0,6386550,6794332,31.78,31.78,FALSE,14,407782,407.782,"GMw7bjvXgFP36KDm"
"26",645,4,NA,233.679992675781,25,FALSE,0,7266520,7672770,12.67,12.67,FALSE,15,406250,406.25,"GMw7bjvXgFP36KDm"
"27",645,4,NA,234.08332824707,25,FALSE,0,8492661,8592905,75.01,75.01,FALSE,16,100244,100.244,"GMw7bjvXgFP36KDm"
"28",645,4,NA,233.679992675781,25,FALSE,0,9235575,9680685,9.62,9.62,FALSE,17,445110,445.11,"GMw7bjvXgFP36KDm"
"29",645,4,NA,233.679992675781,25,FALSE,0,9959360,10417232,9.54,9.54,FALSE,18,457872,457.872,"GMw7bjvXgFP36KDm"
"30",645,4,NA,233.679992675781,25,FALSE,0,11528813,11977452,11,11,FALSE,19,448639,448.639,"GMw7bjvXgFP36KDm"
"31",645,4,NA,233.679992675781,25,FALSE,0,12225082,12500018,44.69,44.69,FALSE,20,274936,274.936,"GMw7bjvXgFP36KDm"
"32",645,4,NA,233.679992675781,25,FALSE,0,12753476,13210270,11.53,11.53,FALSE,21,456794,456.794,"GMw7bjvXgFP36KDm"
"33",645,4,NA,233.679992675781,25,FALSE,0,13803488,13948946,69.57,69.57,FALSE,22,145458,145.458,"GMw7bjvXgFP36KDm"
"34",645,4,NA,233.679992675781,25,FALSE,0,14162519,14558808,18.53,18.53,FALSE,23,396289,396.289,"GMw7bjvXgFP36KDm"
"35",645,4,NA,233.679992675781,25,FALSE,0,14964414,15359362,20.2,20.2,FALSE,24,394948,394.948,"GMw7bjvXgFP36KDm"
"36",645,4,NA,233.679992675781,25,FALSE,0,15550564,15974740,18.41,18.41,FALSE,25,424176,424.176,"GMw7bjvXgFP36KDm"
