"","logID","fightID","encounterID","size","Class","timestamp","type","sourceID","abilityGameID","hitType","hitType2","amount","unmitigatedAmount","amount_full","resisted","overkill","buffs"
"1","j2MkDALRFGr8cw9g",8,101084,25,"Boomie",4411802,"damage",139,67760,1,"Normal",2280,2280,2280,NA,NA,"53201.53909.24932.16886.57623.48090."
"2","j2MkDALRFGr8cw9g",8,101084,25,"Boomie",4419563,"damage",139,67760,16,"Normal",2414,2373,2651,237,NA,"48518.54758.24932.16886.57623.2825.48090."
"3","j2MkDALRFGr8cw9g",8,101084,25,"Boomie",4426816,"damage",139,67760,16,"Normal",2345,2305,2576,231,NA,"48518.54758.24932.16886.57623.2825.48090."
"4","j2MkDALRFGr8cw9g",8,101084,25,"Boomie",4435643,"damage",139,67760,2,"Crit",3722,2131,3722,NA,NA,"48517.64713.24932.16886.57623.2825.48090."
"5","j2MkDALRFGr8cw9g",8,101084,25,"Boomie",4456766,"damage",139,67760,2,"Crit",3637,2082,3637,NA,NA,"24932.16886.57623.48090."
"6","j2MkDALRFGr8cw9g",8,101084,25,"Boomie",4476247,"damage",139,67760,1,"Normal",2464,2464,2464,NA,NA,"48518.53201.24932.57623.48090."
"7","j2MkDALRFGr8cw9g",8,101084,25,"Boomie",4485510,"damage",139,67760,1,"Normal",2599,2599,2599,NA,NA,"24932.57623.48391."
"8","j2MkDALRFGr8cw9g",8,101084,25,"Boomie",4506029,"damage",139,67760,1,"Normal",2427,2427,2427,NA,NA,"24932.16886.57623.48090."
"9","j2MkDALRFGr8cw9g",8,101084,25,"Boomie",4517753,"damage",139,67760,2,"Crit",3990,2285,3990,NA,NA,"48518.24932.16886.57623.48090."
"10","j2MkDALRFGr8cw9g",8,101084,25,"Boomie",4538067,"damage",139,67760,1,"Normal",2728,2413,2728,NA,NA,"48517.24932.16886.57623.48090.48391."
"11","j2MkDALRFGr8cw9g",8,101084,25,"Boomie",4546029,"damage",139,67760,1,"Normal",2608,2307,2608,NA,NA,"53201.48517.64713.24932.16886.57623.48090."
"12","j2MkDALRFGr8cw9g",8,101084,25,"Boomie",4554166,"damage",139,67760,17,"Crit",3717,2365,3954,237,NA,"53201.24932.16886.57623.48090."
"13","j2MkDALRFGr8cw9g",8,101084,25,"Boomie",4562154,"damage",139,67760,1,"Normal",2696,2385,2696,NA,NA,"48518.53908.54758.24932.16886.57623.48090."
"14","j2MkDALRFGr8cw9g",8,101084,25,"Boomie",4579047,"damage",139,67760,17,"Crit",3503,2229,3726,223,NA,"48517.24932.16886.57623.48090."
"15","j2MkDALRFGr8cw9g",8,101084,25,"Boomie",4586135,"damage",139,67760,16,"Normal",2368,2328,2601,233,NA,"48517.24932.16886.57623.48090."
"16","j2MkDALRFGr8cw9g",8,101084,25,"Boomie",4604180,"damage",139,67760,2,"Crit",4213,2412,4213,NA,NA,"64713.24932.16886.57623.48090."
"17","j2MkDALRFGr8cw9g",8,101084,25,"Boomie",4612692,"damage",139,67760,17,"Crit",3418,2447,3908,490,NA,"48518.53201.24932.16886.57623.48090.48391."
"18","j2MkDALRFGr8cw9g",8,101084,25,"Boomie",4623426,"damage",139,67760,17,"Crit",4093,2604,4353,260,NA,"48518.54758.24932.16886.57623.48090."
"19","36XxM8WBTjFtcpKN",2,629,10,"Spriest",22899,"damage",9,67760,1,"Normal",2526,2235,2526,NA,NA,"57623.64713.55637.59000.48156.64907.15258.61792."
"20","36XxM8WBTjFtcpKN",2,629,10,"Spriest",43089,"damage",9,67760,1,"Normal",2233,2233,2233,NA,NA,"57623.48156.64907.15258.61792."
"21","36XxM8WBTjFtcpKN",2,629,10,"Spriest",56614,"damage",9,67760,1,"Normal",2342,2072,2342,NA,NA,"57623.59000.48156.64907.15258.61792."
"22","36XxM8WBTjFtcpKN",2,629,10,"Spriest",70261,"damage",9,67760,16,"Normal",2046,2264,2499,453,NA,"57623.64713.59000.48156.15258.61792."
"23","36XxM8WBTjFtcpKN",2,629,10,"Spriest",102600,"damage",9,67760,2,"Crit",4117,2358,4117,NA,NA,"53908.57623.2825.15271.54758.64907.26297.15258.61792."
"24","36XxM8WBTjFtcpKN",2,629,10,"Spriest",113976,"damage",9,67760,1,"Normal",2571,2275,2571,NA,NA,"57623.2825.64713.59000.15258.61792."
"25","36XxM8WBTjFtcpKN",2,629,10,"Spriest",129111,"damage",9,67760,17,"Crit",3629,2310,3860,231,NA,"57623.2825.59000.15258.61792."
"26","36XxM8WBTjFtcpKN",2,629,10,"Spriest",154773,"damage",9,67760,16,"Normal",2070,2290,2528,458,NA,"57623.48156.64907.15258.61792."
"27","36XxM8WBTjFtcpKN",2,629,10,"Spriest",166159,"damage",9,67760,2,"Crit",3599,2061,3599,NA,NA,"57623.64713.55637.59000.48156.54758.15258.61792."
"28","36XxM8WBTjFtcpKN",2,629,10,"Spriest",177189,"damage",9,67760,1,"Normal",2479,2193,2479,NA,NA,"57623.15258.61792."
"29","36XxM8WBTjFtcpKN",2,629,10,"Spriest",224737,"damage",9,67760,1,"Normal",2588,2290,2588,NA,NA,"55637.48156.54758.64907.15258.61792."
"30","36XxM8WBTjFtcpKN",2,629,10,"Spriest",249800,"damage",9,67760,2,"Crit",7303,2091,7303,NA,NA,"57623.59000.15258.61792."
"31","36XxM8WBTjFtcpKN",2,629,10,"Spriest",272425,"damage",9,67760,17,"Crit",3649,2322,3881,232,NA,"57623.59000.48156.64907.15258.61792."
"32","36XxM8WBTjFtcpKN",5,637,10,"Spriest",720957,"damage",9,67760,1,"Normal",2234,1977,2234,NA,NA,"48156.2825.64907.15258.61792."
"33","36XxM8WBTjFtcpKN",5,637,10,"Spriest",737675,"damage",9,67760,2,"Crit",3878,2221,3878,NA,NA,"48156.2825.64713.64907.15258.61792."
"34","36XxM8WBTjFtcpKN",5,637,10,"Spriest",759445,"damage",9,67760,1,"Normal",2473,2188,2473,NA,NA,"54758.64907.15258.61792.59000."
"35","36XxM8WBTjFtcpKN",6,641,10,"Spriest",929887,"damage",9,67760,2,"Crit",5031,3256,5031,NA,NA,"57623.53909.64713.55637.59000.48156.54758.64907.15258.61792."
"36","36XxM8WBTjFtcpKN",6,641,10,"Spriest",981740,"damage",9,67760,1,"Normal",3348,2962,3348,NA,NA,"57623.64713.59000.15258.61792."
"37","36XxM8WBTjFtcpKN",6,641,10,"Spriest",1017931,"damage",9,67760,16,"Normal",2755,3048,3365,610,NA,"57623.15258.61792."
"38","36XxM8WBTjFtcpKN",6,641,10,"Spriest",1029588,"damage",9,67760,1,"Normal",7319,6477,7319,NA,NA,"53908.57623.64713.59000.64907.15258.61792."
"39","36XxM8WBTjFtcpKN",6,641,10,"Spriest",1047901,"damage",9,67760,1,"Normal",3855,3411,3855,NA,NA,"57623.55637.59000.48156.64907.15258.61792."
"40","36XxM8WBTjFtcpKN",7,645,10,"Spriest",1229711,"damage",9,67760,2,"Crit",3962,2269,3962,NA,NA,"48156.57623.53909.64907.57327.55637.15258.61792.59000."
"41","36XxM8WBTjFtcpKN",7,645,10,"Spriest",1245471,"damage",9,67760,16,"Normal",2144,2108,2355,211,NA,"57623.64713.64907.57327.15258.61792.59000.32409."
"42","36XxM8WBTjFtcpKN",7,645,10,"Spriest",1259121,"damage",9,67760,2,"Crit",3311,2143,3311,NA,NA,"57623.57327.15258.61792."
"43","36XxM8WBTjFtcpKN",7,645,10,"Spriest",1270343,"damage",9,67760,17,"Crit",3389,2157,3605,216,NA,"57623.57327.15258.61792.59000."
"44","36XxM8WBTjFtcpKN",7,645,10,"Spriest",1279670,"damage",9,67760,1,"Normal",2267,2006,2267,NA,NA,"48156.57623.64907.57327.15258.61792.59000."
"45","36XxM8WBTjFtcpKN",8,645,10,"Spriest",1457534,"damage",9,67760,17,"Crit",3163,2013,3364,201,NA,"57623.53909.55637.59000.54758.64907.15258.61792."
"46","36XxM8WBTjFtcpKN",8,645,10,"Spriest",1467214,"damage",9,67760,1,"Normal",2478,2193,2478,NA,NA,"57623.59000.15258.61792."
"47","36XxM8WBTjFtcpKN",8,645,10,"Spriest",1484991,"damage",9,67760,1,"Normal",2320,2053,2320,NA,NA,"57623.59000.64907.15258.61792."
"48","36XxM8WBTjFtcpKN",8,645,10,"Spriest",1495839,"damage",9,67760,16,"Normal",2188,2152,2403,215,NA,"57623.64713.15271.48156.64907.15258.61792."
"49","36XxM8WBTjFtcpKN",8,645,10,"Spriest",1509992,"damage",9,67760,16,"Normal",2181,2145,2396,215,NA,"57623.55637.64907.15258.61792."
"50","36XxM8WBTjFtcpKN",8,645,10,"Spriest",1574132,"damage",9,67760,1,"Normal",2192,2192,2192,NA,NA,"57623.15258.61792."
"51","36XxM8WBTjFtcpKN",8,645,10,"Spriest",1613136,"damage",9,67760,1,"Normal",2286,2023,2286,NA,NA,"53908.57623.2825.59000.48156.64907.26297.15258.61792."
"52","36XxM8WBTjFtcpKN",8,645,10,"Spriest",1622178,"damage",9,67760,16,"Normal",2247,2210,2468,221,NA,"53908.57623.2825.59000.64907.15258.61792."
"53","36XxM8WBTjFtcpKN",8,645,10,"Spriest",1630119,"damage",9,67760,1,"Normal",2539,2247,2539,NA,NA,"57623.2825.59000.64907.15258.61792."
"54","36XxM8WBTjFtcpKN",8,645,10,"Spriest",1639370,"damage",9,67760,1,"Normal",2270,2009,2270,NA,NA,"57623.2825.55637.59000.15258.61792."
"55","36XxM8WBTjFtcpKN",8,645,10,"Spriest",1647878,"damage",9,67760,17,"Crit",3142,2000,3342,200,NA,"57623.55637.59000.48156.15258.61792."
